experiment,batch,trial,condition,treatment,dose,protein,background,density
ipf-lf,2,1,control,VB124,,sma,133988715,2397198
ipf-lf,2,2,control,VB124,,sma,159103261,1657437
ipf-lf,2,3,control,VB124,,sma,145795589,2600807
ipf-lf,2,1,control,AZD/VB,,sma,125690022,2287317
ipf-lf,2,2,control,AZD/VB,,sma,138537117,1442170
ipf-lf,2,3,control,AZD/VB,,sma,157241641,2513720
ipf-lf,2,1,tgfb,DMSO,,sma,134117935,14785186
ipf-lf,2,2,tgfb,DMSO,,sma,125066855,7737606
ipf-lf,2,3,tgfb,DMSO,,sma,115688039,12989883
ipf-lf,2,1,tgfb,AZD3965,,sma,122964829,15860622
ipf-lf,2,2,tgfb,AZD3965,,sma,127252874,9406034
ipf-lf,2,3,tgfb,AZD3965,,sma,103341210,16333351
ipf-lf,2,1,tgfb,VB124,,sma,103424990,16551692
ipf-lf,2,2,tgfb,VB124,,sma,117581680,8205289
ipf-lf,2,3,tgfb,VB124,,sma,98178161,14840344
ipf-lf,2,1,tgfb,AZD/VB,,sma,145079909,12374561
ipf-lf,2,2,tgfb,AZD/VB,,sma,183993447,5295255
ipf-lf,2,3,tgfb,AZD/VB,,sma,235547612,12619901
ipf-lf,2,1,control,DMSO,,col1a1,146365932,101472
ipf-lf,2,2,control,DMSO,,col1a1,165618789,178962
ipf-lf,2,3,control,DMSO,,col1a1,123915661,7665
ipf-lf,2,1,control,AZD3965,,col1a1,105236768,15036
ipf-lf,2,2,control,AZD3965,,col1a1,130509928,14511
ipf-lf,2,3,control,AZD3965,,col1a1,157675025,6972
ipf-lf,2,1,control,VB124,,col1a1,133988715,5166
ipf-lf,2,2,control,VB124,,col1a1,159103261,8715
ipf-lf,2,3,control,VB124,,col1a1,145795589,7854
ipf-lf,2,1,control,AZD/VB,,col1a1,125690022,8841
ipf-lf,2,2,control,AZD/VB,,col1a1,138537117,10899
ipf-lf,2,3,control,AZD/VB,,col1a1,157241641,12117
ipf-lf,2,1,tgfb,DMSO,,col1a1,134117935,168336
ipf-lf,2,2,tgfb,DMSO,,col1a1,125066855,117537
ipf-lf,2,3,tgfb,DMSO,,col1a1,115688039,35448
ipf-lf,2,1,tgfb,AZD3965,,col1a1,122964829,102354
ipf-lf,2,2,tgfb,AZD3965,,col1a1,127252874,119595
ipf-lf,2,3,tgfb,AZD3965,,col1a1,103341210,57666
ipf-lf,2,1,tgfb,VB124,,col1a1,103424990,48783
ipf-lf,2,2,tgfb,VB124,,col1a1,117581680,37674
ipf-lf,2,3,tgfb,VB124,,col1a1,98178161,25914
ipf-lf,2,1,tgfb,AZD/VB,,col1a1,145079909,30198
ipf-lf,2,2,tgfb,AZD/VB,,col1a1,183993447,29484
ipf-lf,2,3,tgfb,AZD/VB,,col1a1,235547612,32529
ipf-lf,3,1,control,DMSO,,sma,198754034,2569056
ipf-lf,3,2,control,DMSO,,sma,145522288,1200472
ipf-lf,3,3,control,DMSO,,sma,131182898,4638676
ipf-lf,3,1,control,AZD3965,,sma,119599623,1954624
ipf-lf,3,2,control,AZD3965,,sma,139763026,1202712
ipf-lf,3,3,control,AZD3965,,sma,134061361,3850560
ipf-lf,3,1,control,VB124,,sma,106362679,1927156
ipf-lf,3,2,control,VB124,,sma,155098501,1122772
ipf-lf,3,3,control,VB124,,sma,152137840,4894596
ipf-lf,3,1,control,AZD/VB,,sma,127471286,1925168
ipf-lf,3,2,control,AZD/VB,,sma,134251672,1064952
ipf-lf,3,3,control,AZD/VB,,sma,174423353,4304244
ipf-lf,3,1,tgfb,DMSO,,sma,124998557,10287136
ipf-lf,3,2,tgfb,DMSO,,sma,129550472,8190510
ipf-lf,3,3,tgfb,DMSO,,sma,127475739,14452138
ipf-lf,3,1,tgfb,AZD3965,,sma,160935946,12066780
ipf-lf,3,2,tgfb,AZD3965,,sma,154105482,8458567
ipf-lf,3,3,tgfb,AZD3965,,sma,142584914,13341873
ipf-lf,3,1,tgfb,VB124,,sma,139628998,5714968
ipf-lf,3,2,tgfb,VB124,,sma,135863950,6014036
ipf-lf,3,3,tgfb,VB124,,sma,147574172,9720508
ipf-lf,3,1,tgfb,AZD/VB,,sma,128539568,5892320
ipf-lf,3,2,tgfb,AZD/VB,,sma,145775744,4059972
ipf-lf,3,3,tgfb,AZD/VB,,sma,202019981,9793112
ipf-lf,3,1,control,DMSO,,col1a1,198754034,88536
ipf-lf,3,2,control,DMSO,,col1a1,145522288,69090
ipf-lf,3,3,control,DMSO,,col1a1,131182898,33810
ipf-lf,3,1,control,AZD3965,,col1a1,119599623,51219
ipf-lf,3,2,control,AZD3965,,col1a1,139763026,26691
ipf-lf,3,3,control,AZD3965,,col1a1,134061361,19992
ipf-lf,3,1,control,VB124,,col1a1,106362679,5544
ipf-lf,3,2,control,VB124,,col1a1,155098501,18144
ipf-lf,3,3,control,VB124,,col1a1,152137840,10437
ipf-lf,3,1,control,AZD/VB,,col1a1,127471286,12642
ipf-lf,3,2,control,AZD/VB,,col1a1,134251672,40278
ipf-lf,3,3,control,AZD/VB,,col1a1,174423353,13587
ipf-lf,3,1,tgfb,DMSO,,col1a1,124998557,1770888
ipf-lf,3,2,tgfb,DMSO,,col1a1,129550472,610764
ipf-lf,3,3,tgfb,DMSO,,col1a1,127475739,1036455
ipf-lf,3,1,tgfb,AZD3965,,col1a1,160935946,361431
ipf-lf,3,2,tgfb,AZD3965,,col1a1,154105482,452151
ipf-lf,3,3,tgfb,AZD3965,,col1a1,142584914,1335495
ipf-lf,3,1,tgfb,VB124,,col1a1,139628998,179550
ipf-lf,3,2,tgfb,VB124,,col1a1,135863950,269955
ipf-lf,3,3,tgfb,VB124,,col1a1,147574172,121506
ipf-lf,3,1,tgfb,AZD/VB,,col1a1,128539568,313971
ipf-lf,3,2,tgfb,AZD/VB,,col1a1,145775744,373086
ipf-lf,3,3,tgfb,AZD/VB,,col1a1,202019981,256872
comp,1,1,nhlf,none,,sma,130415216,79467089
comp,1,1,nhlf,none,,sma,257481024,139148462
comp,1,1,nhlf,none,,sma,355732203,78373763
comp,1,1,nhlf,none,,sma,255734532,131438588
comp,1,1,nhlf,none,,sma,347956567,90856229
comp,1,1,nhlf,none,,sma,335356987,114519676
comp,1,1,nhlf,none,,sma,228647832,76224053
comp,1,1,ipf-lf,none,,sma,639349561,156710322
comp,1,1,ipf-lf,none,,sma,552997636,214020534
comp,1,1,ipf-lf,none,,sma,453703566,204090591
comp,1,1,ipf-lf,none,,sma,276033244,94930960
comp,1,1,ipf-lf,none,,sma,232330989,63938611
comp,1,1,nhlf,none,,mct1,130415216,115195210
comp,1,1,nhlf,none,,mct1,257481024,164302190
comp,1,1,nhlf,none,,mct1,355732203,249230800
comp,1,1,nhlf,none,,mct1,255734532,169477360
comp,1,1,nhlf,none,,mct1,347956567,260461110
comp,1,1,nhlf,none,,mct1,335356987,264430530
comp,1,1,nhlf,none,,mct1,228647832,208617370
comp,1,1,ipf-lf,none,,mct1,639349561,353446080
comp,1,1,ipf-lf,none,,mct1,552997636,251074330
comp,1,1,ipf-lf,none,,mct1,453703566,331932120
comp,1,1,ipf-lf,none,,mct1,276033244,280603700
comp,1,1,ipf-lf,none,,mct1,232330989,226201690
comp,1,1,nhlf,none,,mct4,130415216,114747223
comp,1,1,nhlf,none,,mct4,257481024,194002092
comp,1,1,nhlf,none,,mct4,355732203,274388146
comp,1,1,nhlf,none,,mct4,255734532,239271631
comp,1,1,nhlf,none,,mct4,347956567,231490362
comp,1,1,nhlf,none,,mct4,335356987,212657933
comp,1,1,nhlf,none,,mct4,228647832,181874767
comp,1,1,ipf-lf,none,,mct4,639349561,247102025
comp,1,1,ipf-lf,none,,mct4,552997636,253296753
comp,1,1,ipf-lf,none,,mct4,453703566,321566748
comp,1,1,ipf-lf,none,,mct4,276033244,309525097
comp,1,1,ipf-lf,none,,mct4,232330989,255087654
dual,5,3,control,DMSO,,pampk,305009130,144708
dual,5,3,control,AZD3965,,pampk,240855200,272637870
dual,5,3,control,VB124,,pampk,267593990,187023000
dual,5,3,control,AZD/VB,,pampk,264311720,177252234
dual,5,3,tgfb,DMSO,,pampk,248663125,110078892
dual,5,3,tgfb,AZD3965,,pampk,349610040,243833910
dual,5,3,tgfb,VB124,,pampk,294727200,189875496
dual,5,3,tgfb,AZD/VB,,pampk,431230930,232493490
dual,5,3,control,DMSO,,perk,305009130,31717650
dual,5,3,control,AZD3965,,perk,240855200,350684214
dual,5,3,control,VB124,,perk,267593990,201940758
dual,5,3,control,AZD/VB,,perk,264311720,171465588
dual,5,3,tgfb,DMSO,,perk,248663125,416138172
dual,5,3,tgfb,AZD3965,,perk,349610040,427233816
dual,5,3,tgfb,VB124,,perk,294727200,242398734
dual,5,3,tgfb,AZD/VB,,perk,431230930,299448840
dual,5,3,control,DMSO,,erk,305009130,26968742
dual,5,3,control,AZD3965,,erk,240855200,28378090
dual,5,3,control,VB124,,erk,267593990,24777762
dual,5,3,control,AZD/VB,,erk,264311720,24175622
dual,5,3,tgfb,DMSO,,erk,248663125,21948394
dual,5,3,tgfb,AZD3965,,erk,349610040,29167036
dual,5,3,tgfb,VB124,,erk,294727200,27058488
dual,5,3,tgfb,AZD/VB,,erk,431230930,30057550
dual,5,3,control,DMSO,,pakt,174651300,18985560
dual,5,3,control,AZD3965,,pakt,209864340,20990816
dual,5,3,control,VB124,,pakt,213226740,13106280
dual,5,3,control,AZD/VB,,pakt,193636260,14407932
dual,5,3,tgfb,DMSO,,pakt,233071380,11544236
dual,5,3,tgfb,AZD3965,,pakt,240223860,13511036
dual,5,3,tgfb,VB124,,pakt,248132160,15611816
dual,5,3,tgfb,AZD/VB,,pakt,217103580,14311704
dual,5,3,control,DMSO,,akt,174651300,10304010
dual,5,3,control,AZD3965,,akt,209864340,18606375
dual,5,3,control,VB124,,akt,213226740,18488745
dual,5,3,control,AZD/VB,,akt,193636260,17630370
dual,5,3,tgfb,DMSO,,akt,233071380,19471050
dual,5,3,tgfb,AZD3965,,akt,240223860,21070350
dual,5,3,tgfb,VB124,,akt,248132160,20282985
dual,5,3,tgfb,AZD/VB,,akt,217103580,20953980
dual,5,3,control,DMSO,,col1a1,174651300,3735
dual,5,3,control,AZD3965,,col1a1,209864340,604035
dual,5,3,control,VB124,,col1a1,213226740,597915
dual,5,3,control,AZD/VB,,col1a1,193636260,449055
dual,5,3,tgfb,DMSO,,col1a1,233071380,10940040
dual,5,3,tgfb,AZD3965,,col1a1,240223860,14790735
dual,5,3,tgfb,VB124,,col1a1,248132160,11280330
dual,5,3,tgfb,AZD/VB,,col1a1,217103580,13165695
dual,5,3,control,DMSO,,sma,174651300,542745
dual,5,3,control,AZD3965,,sma,209864340,1610235
dual,5,3,control,VB124,,sma,213226740,1823445
dual,5,3,control,AZD/VB,,sma,193636260,1671525
dual,5,3,tgfb,DMSO,,sma,233071380,22006125
dual,5,3,tgfb,AZD3965,,sma,240223860,21006810
dual,5,3,tgfb,VB124,,sma,248132160,13503015
dual,5,3,tgfb,AZD/VB,,sma,217103580,9659025
dual,5,4,control,DMSO,,pampk,444509268,8765116
dual,5,4,control,AZD3965,,pampk,492620530,10576366
dual,5,4,control,VB124,,pampk,328225319,8440770
dual,5,4,control,AZD/VB,,pampk,215404304,3068154
dual,5,4,tgfb,DMSO,,pampk,316533755,5233926
dual,5,4,tgfb,AZD3965,,pampk,324679866,5061012
dual,5,4,tgfb,VB124,,pampk,355606949,8421772
dual,5,4,tgfb,AZD/VB,,pampk,507377469,13899130
dual,5,4,control,DMSO,,ampk,444509268,14055576
dual,5,4,control,AZD3965,,ampk,492620530,15738486
dual,5,4,control,VB124,,ampk,328225319,7156312
dual,5,4,control,AZD/VB,,ampk,215404304,6784724
dual,5,4,tgfb,DMSO,,ampk,316533755,11038620
dual,5,4,tgfb,AZD3965,,ampk,324679866,9563446
dual,5,4,tgfb,VB124,,ampk,355606949,11004810
dual,5,4,tgfb,AZD/VB,,ampk,507377469,17491592
dual,5,4,control,DMSO,,perk,444509268,17284040
dual,5,4,control,AZD3965,,perk,492620530,20140548
dual,5,4,control,VB124,,perk,328225319,18139088
dual,5,4,control,AZD/VB,,perk,215404304,7286584
dual,5,4,tgfb,DMSO,,perk,316533755,15903580
dual,5,4,tgfb,AZD3965,,perk,324679866,25089504
dual,5,4,tgfb,VB124,,perk,355606949,15718062
dual,5,4,tgfb,AZD/VB,,perk,507377469,23503148
dual,5,4,control,DMSO,,erk,444509268,29237508
dual,5,4,control,AZD3965,,erk,492620530,30930722
dual,5,4,control,VB124,,erk,328225319,17817686
dual,5,4,control,AZD/VB,,erk,215404304,16471634
dual,5,4,tgfb,DMSO,,erk,316533755,19678616
dual,5,4,tgfb,AZD3965,,erk,324679866,19809992
dual,5,4,tgfb,VB124,,erk,355606949,21233370
dual,5,4,tgfb,AZD/VB,,erk,507377469,25109790
dual,5,4,control,DMSO,,akt,484334424,19377914
dual,5,4,control,AZD3965,,akt,617847993,21733482
dual,5,4,control,VB124,,akt,431229204,16243750
dual,5,4,control,AZD/VB,,akt,405020196,15908272
dual,5,4,tgfb,DMSO,,akt,607219578,20304906
dual,5,4,tgfb,AZD3965,,akt,459416097,15430562
dual,5,4,tgfb,VB124,,akt,657338787,15922670
dual,5,4,tgfb,AZD/VB,,akt,608573385,19379340
dual,5,4,control,DMSO,,pakt,484334424,23670765
dual,5,4,control,AZD3965,,pakt,617847993,19524105
dual,5,4,control,VB124,,pakt,431229204,19318590
dual,5,4,control,AZD/VB,,pakt,405020196,21624030
dual,5,4,tgfb,DMSO,,pakt,607219578,19701720
dual,5,4,tgfb,AZD3965,,pakt,459416097,18784530
dual,5,4,tgfb,VB124,,pakt,657338787,21756825
dual,5,4,tgfb,AZD/VB,,pakt,608573385,15129810
dual,5,4,control,DMSO,,col1a1,484334424,6811501
dual,5,4,control,AZD3965,,col1a1,617847993,9908232
dual,5,4,control,VB124,,col1a1,431229204,5948147
dual,5,4,control,AZD/VB,,col1a1,405020196,6345037
dual,5,4,tgfb,DMSO,,col1a1,607219578,20518826
dual,5,4,tgfb,AZD3965,,col1a1,459416097,16426602
dual,5,4,tgfb,VB124,,col1a1,657338787,1424203
dual,5,4,tgfb,AZD/VB,,col1a1,608573385,1828016
dual,5,4,control,DMSO,,sma,484334424,2685690
dual,5,4,control,AZD3965,,sma,617847993,2246850
dual,5,4,control,VB124,,sma,431229204,2029455
dual,5,4,control,AZD/VB,,sma,405020196,2975085
dual,5,4,tgfb,DMSO,,sma,607219578,22635540
dual,5,4,tgfb,AZD3965,,sma,459416097,23222385
dual,5,4,tgfb,VB124,,sma,657338787,13754250
dual,5,4,tgfb,AZD/VB,,sma,608573385,6547770
dual,5,5,control,DMSO,,pakt,196983776,16271145
dual,5,5,control,AZD3965,,pakt,159944400,7342470
dual,5,5,control,VB124,,pakt,231295680,7304895
dual,5,5,control,AZD/VB,,pakt,233543200,5526945
dual,5,5,tgfb,DMSO,,pakt,245923744,8012520
dual,5,5,tgfb,AZD3965,,pakt,210945856,5897205
dual,5,5,tgfb,VB124,,pakt,270353248,3129480
dual,5,5,tgfb,AZD/VB,,pakt,237005824,2889180
dual,5,5,control,DMSO,,akt,196983776,134100
dual,5,5,control,AZD3965,,akt,159944400,182475
dual,5,5,control,VB124,,akt,231295680,202230
dual,5,5,control,AZD/VB,,akt,233543200,72405
dual,5,5,tgfb,DMSO,,akt,245923744,346590
dual,5,5,tgfb,AZD3965,,akt,210945856,269415
dual,5,5,tgfb,VB124,,akt,270353248,190215
dual,5,5,tgfb,AZD/VB,,akt,237005824,182430
dual,5,5,control,DMSO,,sma,196983776,1718146
dual,5,5,control,AZD3965,,sma,159944400,2251240
dual,5,5,control,VB124,,sma,231295680,2009556
dual,5,5,control,AZD/VB,,sma,233543200,2269134
dual,5,5,tgfb,DMSO,,sma,245923744,21782978
dual,5,5,tgfb,AZD3965,,sma,210945856,21755562
dual,5,5,tgfb,VB124,,sma,270353248,22879986
dual,5,5,tgfb,AZD/VB,,sma,237005824,20772910
dual,5,5,control,DMSO,,col1a1,196983776,1454112
dual,5,5,control,AZD3965,,col1a1,159944400,2366980
dual,5,5,control,VB124,,col1a1,231295680,1293160
dual,5,5,control,AZD/VB,,col1a1,233543200,1051116
dual,5,5,tgfb,DMSO,,col1a1,245923744,16013184
dual,5,5,tgfb,AZD3965,,col1a1,210945856,4681688
dual,5,5,tgfb,VB124,,col1a1,270353248,5738128
dual,5,5,tgfb,AZD/VB,,col1a1,237005824,1555840
dual,5,5,control,DMSO,,perk,509530658,22221220
dual,5,5,control,AZD3965,,perk,469870856,22335438
dual,5,5,control,VB124,,perk,523602170,17471950
dual,5,5,control,AZD/VB,,perk,436119866,17394808
dual,5,5,tgfb,DMSO,,perk,476768292,21146706
dual,5,5,tgfb,AZD3965,,perk,394380714,16543716
dual,5,5,tgfb,VB124,,perk,849778202,18454878
dual,5,5,tgfb,AZD/VB,,perk,606120788,18961246
dual,5,5,control,DMSO,,erk,509530658,30256316
dual,5,5,control,AZD3965,,erk,469870856,30601592
dual,5,5,control,VB124,,erk,523602170,29713976
dual,5,5,control,AZD/VB,,erk,436119866,31158054
dual,5,5,tgfb,DMSO,,erk,476768292,28188846
dual,5,5,tgfb,AZD3965,,erk,394380714,22729520
dual,5,5,tgfb,VB124,,erk,849778202,29916146
dual,5,5,tgfb,AZD/VB,,erk,606120788,26671766
dual,5,5,control,DMSO,,pampk,509530658,9129022
dual,5,5,control,AZD3965,,pampk,469870856,10067376
dual,5,5,control,VB124,,pampk,523602170,6084190
dual,5,5,control,AZD/VB,,pampk,436119866,5444330
dual,5,5,tgfb,DMSO,,pampk,476768292,8707386
dual,5,5,tgfb,AZD3965,,pampk,394380714,2308970
dual,5,5,tgfb,VB124,,pampk,849778202,13340460
dual,5,5,tgfb,AZD/VB,,pampk,606120788,9799334
dual,5,5,control,DMSO,,ampk,509530658,13286088
dual,5,5,control,AZD3965,,ampk,469870856,10415826
dual,5,5,control,VB124,,ampk,523602170,11573094
dual,5,5,control,AZD/VB,,ampk,436119866,7194032
dual,5,5,tgfb,DMSO,,ampk,476768292,9409346
dual,5,5,tgfb,AZD3965,,ampk,394380714,3916854
dual,5,5,tgfb,VB124,,ampk,849778202,15233682
dual,5,5,tgfb,AZD/VB,,ampk,606120788,9335424
ipf-lf,1,4,control,DMSO,,col1a1,633261261,86022
ipf-lf,1,4,control,AZD3965,,col1a1,636522157,59472
ipf-lf,1,4,control,VB124,,col1a1,506014641,100359
ipf-lf,1,4,control,AZD/VB,,col1a1,616748993,128502
ipf-lf,1,4,tgfb,DMSO,,col1a1,684803364,160004814
ipf-lf,1,4,tgfb,AZD3965,,col1a1,435346449,315768
ipf-lf,1,4,tgfb,VB124,,col1a1,572120366,186912
ipf-lf,1,4,tgfb,AZD/VB,,col1a1,700984764,97350
ipf-lf,1,4,control,DMSO,,sma,183801357,60264828
ipf-lf,1,4,control,AZD3965,,sma,126545781,46176207
ipf-lf,1,4,control,VB124,,sma,158160312,64382328
ipf-lf,1,4,control,AZD/VB,,sma,230777823,85960956
ipf-lf,1,4,tgfb,DMSO,,sma,143862888,241660467
ipf-lf,1,4,tgfb,AZD3965,,sma,158367102,246766716
ipf-lf,1,4,tgfb,VB124,,sma,110112747,189991332
ipf-lf,1,4,tgfb,AZD/VB,,sma,165738159,129233136
lactyl,6,1,control,DMSO,,lactylk,675480141,10355072
lactyl,6,1,tgfb,DMSO,,lactylk,638360730,11325080
lactyl,6,1,control,AZD3965,,lactylk,751601970,5333016
lactyl,6,1,tgfb,AZD3965,,lactylk,798373044,25504128
lactyl,6,1,control,VB124,,lactylk,844003503,9937304
lactyl,6,1,tgfb,VB124,,lactylk,822064950,18268432
lactyl,6,1,control,AZD/VB,,lactylk,758335851,63881896
lactyl,6,1,tgfb,AZD/VB,,lactylk,1043745885,80145624
lactyl,6,1,control,DMSO,,h3,675480141,123373386
lactyl,6,1,tgfb,DMSO,,h3,638360730,117617220
lactyl,6,1,control,AZD3965,,h3,751601970,114883518
lactyl,6,1,tgfb,AZD3965,,h3,798373044,118387320
lactyl,6,1,control,VB124,,h3,844003503,122892354
lactyl,6,1,tgfb,VB124,,h3,822064950,121784838
lactyl,6,1,control,AZD/VB,,h3,758335851,105317244
lactyl,6,1,tgfb,AZD/VB,,h3,1043745885,125579034
lactyl,6,2,control,DMSO,,lactylk,604268037,109455773
lactyl,6,2,tgfb,DMSO,,lactylk,1102704120,113769117
lactyl,6,2,control,AZD3965,,lactylk,700351542,76201937
lactyl,6,2,tgfb,AZD3965,,lactylk,825257329,72314690
lactyl,6,2,control,VB124,,lactylk,556581831,130683280
lactyl,6,2,tgfb,VB124,,lactylk,876435970,107369745
lactyl,6,2,control,AZD/VB,,lactylk,660729547,253184442
lactyl,6,2,tgfb,AZD/VB,,lactylk,878609741,376607833
lactyl,6,2,control,DMSO,,h3,604268037,613109695
lactyl,6,2,tgfb,DMSO,,h3,1102704120,554403025
lactyl,6,2,control,AZD3965,,h3,700351542,497368950
lactyl,6,2,tgfb,AZD3965,,h3,825257329,337032710
lactyl,6,2,control,VB124,,h3,556581831,446165690
lactyl,6,2,tgfb,VB124,,h3,876435970,441349625
lactyl,6,2,control,AZD/VB,,h3,660729547,467021980
lactyl,6,2,tgfb,AZD/VB,,h3,878609741,489644550
lactyl,6,3,control,DMSO,,lactylk,710093417,45621056
lactyl,6,3,tgfb,DMSO,,lactylk,1304745189,54491216
lactyl,6,3,control,AZD3965,,lactylk,820276809,45951984
lactyl,6,3,tgfb,AZD3965,,lactylk,1002978427,61416992
lactyl,6,3,control,VB124,,lactylk,736683321,21020480
lactyl,6,3,tgfb,VB124,,lactylk,1078115588,64180688
lactyl,6,3,control,AZD/VB,,lactylk,906400220,161106192
lactyl,6,3,tgfb,AZD/VB,,lactylk,1159522111,254697040
lactyl,6,3,control,DMSO,,h3,710093417,460619071
lactyl,6,3,tgfb,DMSO,,h3,1304745189,345783812
lactyl,6,3,control,AZD3965,,h3,820276809,499261917
lactyl,6,3,tgfb,AZD3965,,h3,1002978427,583566874
lactyl,6,3,control,VB124,,h3,736683321,570043947
lactyl,6,3,tgfb,VB124,,h3,1078115588,621331502
lactyl,6,3,control,AZD/VB,,h3,906400220,662531254
lactyl,6,3,tgfb,AZD/VB,,h3,1159522111,596472415
lactyl,6,4,control,DMSO,,lactylk,300193770,113328288
lactyl,6,4,tgfb,DMSO,,lactylk,478981062,171374166
lactyl,6,4,control,AZD3965,,lactylk,393827658,139402971
lactyl,6,4,tgfb,AZD3965,,lactylk,384851484,148425741
lactyl,6,4,control,VB124,,lactylk,261911808,117903618
lactyl,6,4,tgfb,VB124,,lactylk,372071052,175712508
lactyl,6,4,control,AZD/VB,,lactylk,845041710,378558837
lactyl,6,4,tgfb,AZD/VB,,lactylk,562432938,355526370
lactyl,6,4,control,DMSO,,h3,300193770,281497008
lactyl,6,4,tgfb,DMSO,,h3,478981062,378178906
lactyl,6,4,control,AZD3965,,h3,393827658,386351700
lactyl,6,4,tgfb,AZD3965,,h3,384851484,384933920
lactyl,6,4,control,VB124,,h3,261911808,414364103
lactyl,6,4,tgfb,VB124,,h3,372071052,401748760
lactyl,6,4,control,AZD/VB,,h3,845041710,497204750
lactyl,6,4,tgfb,AZD/VB,,h3,562432938,440433493
